Text,Item,38,Description
Neck Width,NeckWidth,13.4,Put a string around the back of your neck and hold it down the front of the body. Measure from one side of the string to the other. For women this should be between 10 and 12.5 cm and for men between 12.5 and 15 cm
Chest,Chest,88,Around the fullest part of the chest and across shoulder blades
Waist,Waist,72,Around the narrowest part of the waist
Hips,Hips,97,Around fullest part of the hips
Shoulder Width,ShoulderWidth,38,Shoulder point to shoulder point in back of body
Center Front Waist to Shoulder,CenterFrontWaisttoShoulder,46.9,Center Front Waist to Shoulder Point
Full Bust,FullBust,88,Around the fullest part of the chest and across shoulder blades
Upper Chest,UpperChest,81,Very snuggly circumference of the chest above the bust
Front Bust,FrontBust,51,Side seam to side seam at the fullest part of the bust
Back Bust,BackBust,37,Side seam to side seam at the fullest part of the bust across shoulder blades
Bust to Bust,BusttoBust,19,Apex to apex
Bust to Shoulder,BusttoShoulder,26,Apex to shoulder point
Center Front to Waist,CenterFronttoWaist,45.3,Neckline to waist
Side Front to Waist,SideFronttoWaist,49.3,Neckline(side) vertically down to waistline(front)
Side Front to Bust,SideFronttoBust,26,Neckline(side) to apex
Center Back Waist to Shoulder,CenterBackWaisttoShoulder,45.5,Neckline(back) to shoulder point
Center Back,CenterBack,41.5,Neckline(back) vertically down to waistline
Side Back,SideBack,44.5,Neckline(side) vertically down to waistline(back)
Armpit to Waist,ArmpittoWaist,21,Armpit vertically down to waistline
Armlength,Armlength,59.9,Shoulder point to wrist over slightly bent arm
Biceps,Biceps,28,Fullest part of the arm
Palm,Palm,19.8,Circumference around largest part of the hand
Wrist,Wrist,15.8,Circumference below the large wrist bone
Sleeve Cap,SleeveCap,16.5,Shoulder point to fullest part of the arm (where biceps was measured)
Waist to Hips,WaisttoHips,20.6,Waistline(side) to hipline(side)
Waist to Knee,WaisttoKnee,61.5,Waistline(side) to knee
Waist to Floor,WaisttoFloor,103,Waistline(side) to floor
Inseam,Inseam,78.5,Crotch to floor
Thigh,Thigh,55.5,Circumference at largest part of the leg close to crotch
