Text,Item,DefaultValue,Description
Neck Width,NeckWidth,12.2,Put a string around the back of your neck and hold it down the front of the body. Measure from one side of the string to the other. For women this should be between 10 and 12.5 cm and for men between 12.5 and 15 cm
Chest,Chest,86,Around the fullest part of the chest and across shoulder blades
Waist,Waist,69,Around the narrowest part of the waist
Hips,Hips,97,Around fullest part of the hips
Shoulder Width,ShoulderWidth,43,Shoulder point to shoulder point in back of body
Center Front Waist to Shoulder,CenterFrontWaisttoShoulder,48,Center Front Waist to Shoulder Point
Full Bust,FullBust,87,Around the fullest part of the chest and across shoulder blades
Upper Chest,UpperChest,80,Very snuggly circumference of the chest above the bust
Front Bust,FrontBust,50,Side seam to side seam at the fullest part of the bust
Back Bust,BackBust,41,Side seam to side seam at the fullest part of the bust across shoulder blades
Bust to Bust,BusttoBust,20,Apex to apex
Bust to Shoulder,BusttoShoulder,25,Apex to shoulder point
Center Front to Waist,CenterFronttoWaist,42,Neckline to waist
Side Front to Waist,SideFronttoWaist,46,Neckline(side) vertically down to waistline(front)
Side Front to Bust,SideFronttoBust,25,Neckline(side) to apex
Center Back Waist to Shoulder,CenterBackWaisttoShoulder,48,Neckline(back) to shoulder point
Center Back,CenterBack,48,Neckline(back) vertically down to waistline
Side Back,SideBack,51,Neckline(side) vertically down to waistline(back)
Armpit to Waist,ArmpittoWaist,24.5,Armpit vertically down to waistline
Armlength,Armlength,68,Shoulder point to wrist over slightly bent arm
Biceps,Biceps,27,Fullest part of the arm
Palm,Palm,24,Circumference around largest part of the hand
Wrist,Wrist,20,Circumference below the large wrist bone
Sleeve Cap,SleeveCap,13,Shoulder point to fullest part of the arm (where biceps was measured)
Waist to Hips,WaisttoHips,23,Waistline(side) to hipline(side)
Waist to Knee,WaisttoKnee,61.5,Waistline(side) to knee
Waist to Floor,WaisttoFloor,117.5,Waistline(side) to floor
Inseam,Inseam,85,Crotch to floor
Thigh,Thigh,49,Circumference at largest part of the leg close to crotch
