Pattern,Measurements,,,,,,,,,,,,,,,,,,,,,
Bodice Women,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Bodice Women 2,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Pants Men,Waist,Hips,WaisttoHips,WaisttoKnee,WaisttoFloor,Inseam,Thigh,,,,,,,,,,,,,,,
Pants Women,Waist,Hips,WaisttoHips,WaisttoKnee,WaisttoFloor,Inseam,Thigh,,,,,,,,,,,,,,,
Fancy Pants Women,Waist,Hips,WaisttoHips,WaisttoKnee,WaisttoFloor,Inseam,Thigh,,,,,,,,,,,,,,,
Bodice Men,NeckWidth,Chest,ShoulderWidth,CenterFrontWaisttoShoulder,CenterFronttoWaist,SideFronttoWaist,,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist,,,,,
Skirt1A,Waist,Hips,WaisttoHips,WaisttoKnee,,,,,,,,,,,,,,,,,,
Skirt1B,Waist,Hips,WaisttoHips,WaisttoKnee,,,,,,,,,,,,,,,,,,
Skirt1C,Waist,Hips,WaisttoHips,WaisttoKnee,,,,,,,,,,,,,,,,,,
Skirt2G,Waist,Hips,WaisttoHips,WaisttoKnee,,,,,,,,,,,,,,,,,,
Skirt,Waist,Hips,WaisttoHips,WaisttoKnee,,,,,,,,,,,,,,,,,,
Bodice Women 1A,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Top Women Princess 2,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Bodice Women 1B,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Bodice Women 2C,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Bodice Women 2D,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
Bodice Women 3E,NeckWidth,ShoulderWidth,CenterFrontWaisttoShoulder,FullBust,UpperChest,FrontBust,BackBust,BusttoBust,BusttoShoulder,CenterFronttoWaist,SideFronttoWaist,SideFronttoBust,CenterBackWaisttoShoulder,CenterBack,SideBack,ArmpittoWaist,Armlength,Biceps,Palm,Wrist,SleeveCap,Waist
